Label,経過時間,平均パワー,平均ケイデンス,平均トルク,平均HR,最大HR,平均勾配,強度,ゾーン
,905,171,85,19,,,0.5%,55%,2
,57,397,86,44,,,3.2%,128%,6
,17,179,88,20,,,4.5%,57%,2
,29,343,95,35,,,4.8%,110%,5
,16,157,92,16,,,1.6%,50%,1
,29,343,93,35,,,3.5%,110%,5
,16,160,89,17,,,3.5%,51%,1
,29,344,93,36,,,2.6%,110%,5
,16,160,90,17,,,4%,51%,1
,29,343,92,36,,,6.8%,110%,5
,16,156,90,17,,,3.3%,50%,1
,29,333,94,34,,,-0.2%,107%,5
,16,156,92,16,,,-0.4%,50%,1
,29,333,95,34,,,-4.7%,107%,5
,17,164,93,17,,,-4%,52%,1
,28,333,94,34,,,-3.6%,107%,5
,16,162,91,17,,,-4.6%,52%,1
,29,333,96,33,,,-2.8%,107%,5
,16,156,93,16,,,0%,50%,1
,29,328,95,33,,,-1.2%,105%,5
,16,156,95,16,,,-1.6%,50%,1
,29,328,94,34,,,-4.4%,105%,5
,61,240,95,24,,,-2.7%,77%,3
,29,328,97,32,,,0%,105%,5
,316,194,89,21,,,0.2%,62%,2
,58,398,92,41,,,0.5%,128%,6
,17,176,95,18,,,4.5%,56%,2
,29,343,105,31,,,4.3%,110%,5
,16,165,92,17,,,4.4%,53%,1
,30,341,101,32,,,4.1%,110%,5
,15,158,91,17,,,1.7%,50%,1
,29,343,98,34,,,2.8%,110%,5
,16,160,93,16,,,-1.6%,51%,1
,28,343,98,34,,,0.5%,110%,5
,17,167,91,17,,,1.8%,53%,1
,29,334,99,32,,,3.3%,107%,5
,16,156,92,16,,,4.5%,50%,1
,28,333,97,33,,,4.5%,107%,5
,17,172,93,18,,,5%,55%,2
,29,334,100,32,,,2.5%,107%,5
,16,156,89,17,,,3.4%,50%,1
,29,333,98,33,,,3.7%,107%,5
,16,159,88,17,,,2.2%,51%,1
,29,328,98,32,,,3.3%,105%,5
,16,159,93,16,,,5.7%,51%,1
,28,329,100,31,,,5.4%,106%,5
,17,158,95,16,,,-0.3%,50%,1
,29,329,101,31,,,-0.6%,106%,5
,16,156,90,17,,,-6%,50%,1
,29,328,100,31,,,-3.3%,105%,5
,316,193,86,21,,,-2.2%,62%,2
,58,399,93,41,,,0.6%,128%,6
,17,176,94,18,,,-0.8%,56%,2
,29,343,99,33,,,-0.2%,110%,5
,16,160,89,17,,,0.2%,51%,1
,29,343,98,34,,,-0.1%,110%,5
,16,157,91,17,,,-0.3%,50%,1
,29,343,101,33,,,0%,110%,5
,16,160,87,17,,,0%,51%,1
,29,343,99,33,,,-0.2%,110%,5
,16,159,84,18,,,-0.3%,51%,1
,30,329,98,32,,,1.2%,106%,5
,15,157,83,18,,,4.7%,50%,1
,29,333,98,32,,,4.3%,107%,5
,16,169,86,19,,,4.6%,54%,1
,29,333,100,32,,,4.1%,107%,5
,16,159,84,18,,,4.2%,51%,1
,30,330,98,32,,,1.9%,106%,5
,15,161,95,16,,,1.9%,51%,1
,29,328,105,30,,,0%,105%,5
,16,159,93,16,,,0.1%,51%,1
,29,328,101,31,,,2.7%,105%,5
,16,156,89,17,,,4.2%,50%,1
,28,329,102,31,,,4.6%,106%,5
,17,168,89,18,,,4.2%,54%,1
,28,329,99,32,,,3.5%,106%,5
,631,135,82,15,,,-1.4%,43%,1
